Title_Barang,Harga_Barang,Gambar_Barang,Halaman,Harga_Numerik,Tanggal_Scraping
LG SIDE BY SIDE 2D GCB257SQYL,Rp 3.497.045,https://loginmegastore.com/uploads/category/202512/category-o2fn7sk5ssatbhqdp2ckiuid.jpg?w=100&h=100&fit=cover,3,3497045,2026-04-16
SAMSUNG 2D REF RT42CG6420B1SE,Rp 3.239.000,https://loginmegastore.com/uploads/product/AA000769_thumb.jpeg?w=400&h=400&fit=contain,3,3239000,2026-04-16
SHARP 2D REF SJ237MGDP,Rp 3.077.050,https://loginmegastore.com/uploads/product/AA003795_thumb.jpg?w=400&h=400&fit=contain,3,3077050,2026-04-16
SAMSUNG 2D REF RT25FARBDB1/SE,Rp 14.081.100,https://loginmegastore.com/uploads/product/AA003792_thumb.jpg?w=400&h=400&fit=contain,3,14081100,2026-04-16
AQUA 2D REF AQRDTM265CBP(ME),Rp 13.377.045,https://loginmegastore.com/uploads/product/0103-0178-1382_thumb.png?w=400&h=400&fit=contain,3,13377045,2026-04-16
AQUA 2D REF AQRDTM305RAV(MX),Rp 8.525.300,https://loginmegastore.com/uploads/product/0144-0175-1978_thumb.png?w=400&h=400&fit=contain,3,8525300,2026-04-16
SHARP 2D REF SJ326XGCP,Rp 8.099.035,https://loginmegastore.com/uploads/product/AA003793_thumb.jpg?w=400&h=400&fit=contain,3,8099035,2026-04-16
HITACHI 2D REF RBG41PGD6XXGR,Rp 3.239.000,https://loginmegastore.com/uploads/product/AA004109_thumb.png?w=400&h=400&fit=contain,3,3239000,2026-04-16
SHARP 2D REF SJ317MGDP,Rp 3.077.050,https://loginmegastore.com/uploads/product/0317-0175-0345_thumb.png?w=400&h=400&fit=contain,3,3077050,2026-04-16
HITACHI 2D REF HRTN5230MXID,Rp 6.081.100,https://loginmegastore.com/uploads/product/0317-0175-0320_thumb.png?w=400&h=400&fit=contain,3,6081100,2026-04-16
SHARP 2D REF SJ326SIGK,Rp 5.777.045,https://loginmegastore.com/uploads/product/0153-0175-1155_thumb.jpg?w=400&h=400&fit=contain,3,5777045,2026-04-16
HISENSE 2D REF RT469N4IWU,Rp 3.186.400,https://loginmegastore.com/uploads/product/AA000771_thumb.jpeg?w=400&h=400&fit=contain,3,3186400,2026-04-16
MODENA 4D REF RF4310MABK,Rp 3.027.080,https://loginmegastore.com/uploads/product/AA003794_thumb.jpg?w=400&h=400&fit=contain,3,3027080,2026-04-16
BORISH BEINZ EGG BOX ACC BBKW LT01 WH,Rp 98.500,/images/logo-color.png,4,98500,2026-04-16
BERVIN MULTIFUNCTION STAND BOS 100 GREY,Rp 93.575,https://loginmegastore.com/uploads/category/202512/category-fdwkki8f2y5y8xr8xgru5k69.jpg?w=100&h=100&fit=cover,4,93575,2026-04-16
BERVIN MSTNACCREF BOS 200 DARKGREY,Rp 460.000,https://loginmegastore.com/uploads/category/202512/category-rvcn7vof9bov9cz3w6hfh2py.jpg?w=100&h=100&fit=cover,4,460000,2026-04-16
BERVIN MULTIFUNCTION STAND BOS 50 GREY,Rp 437.000,https://loginmegastore.com/uploads/category/202512/category-o2fn7sk5ssatbhqdp2ckiuid.jpg?w=100&h=100&fit=cover,4,437000,2026-04-16
BERVIN MULTIFUNCTION STAND WM BFSA151MS,Rp 607.400,https://loginmegastore.com/uploads/product/0033-0751-0399_thumb.jpg?w=400&h=400&fit=contain,4,607400,2026-04-16
BERVIN MULTIFUNCTION STAND WM BWSA121MG,Rp 577.030,https://loginmegastore.com/uploads/product/0030-0029-0108_thumb.png?w=400&h=400&fit=contain,4,577030,2026-04-16
BERVIN MULTIFUNCTION STAND WM BFSA151MG,Rp 365.300,https://loginmegastore.com/uploads/product/0030-0029-0121_thumb.png?w=400&h=400&fit=contain,4,365300,2026-04-16
LUNA MULTIFUNCTION STAND WM LWSA120 GREY,Rp 347.035,https://loginmegastore.com/uploads/product/0030-0029-0124_thumb.png?w=400&h=400&fit=contain,4,347035,2026-04-16
LUNA MULTIFUNCTION STAND LRSA70 GREY,Rp 639.000,https://loginmegastore.com/uploads/product/0030-0752-0295_thumb.png?w=400&h=400&fit=contain,4,639000,2026-04-16
BERVIN MULTIFUNCTION STAND WM BFSA151DB,Rp 607.050,https://loginmegastore.com/uploads/product/0030-0752-0293_thumb.png?w=400&h=400&fit=contain,4,607050,2026-04-16
LUNA MULTIFUNCTION STAND LRSF10 GREY,Rp 502.200,https://loginmegastore.com/uploads/product/0030-0752-0296_thumb.png?w=400&h=400&fit=contain,4,502200,2026-04-16
PANFILA SIDE BY SIDE 2D PRFB5611GB,Rp 477.090,https://loginmegastore.com/uploads/product/BC000155_thumb.jpg?w=400&h=400&fit=contain,4,477090,2026-04-16
PANFILA SIDE BY SIDE 2D PRFB6411GB,Rp 639.000,https://loginmegastore.com/uploads/product/BC000171_thumb.jpg?w=400&h=400&fit=contain,4,639000,2026-04-16
PANFILA 4D REF PRFM4310,Rp 607.050,https://loginmegastore.com/uploads/product/0030-0752-0294_thumb.png?w=400&h=400&fit=contain,4,607050,2026-04-16
SHARP 4D REF SJIF51PGBK,Rp 449.500,https://loginmegastore.com/uploads/product/BC001369_thumb.jpg?w=400&h=400&fit=contain,4,449500,2026-04-16
BEKO SIDE BY SIDE 3D GNO610E00GUID,Rp 427.025,https://loginmegastore.com/uploads/product/0134-0178-0160_thumb.png?w=400&h=400&fit=contain,4,427025,2026-04-16
LG SIDE BY SIDE 4D GCV22FFQMB,Rp 23.607.400,/images/logo-color.png,5,23607400,2026-04-16
PANFILA SIDE BY SIDE 2D PRFB5610,Rp 22.427.030,https://loginmegastore.com/uploads/category/202512/category-fdwkki8f2y5y8xr8xgru5k69.jpg?w=100&h=100&fit=cover,5,22427030,2026-04-16
HITACHI SIDE BY SIDE 2D HRSN9552DDXID,Rp 9.449.500,https://loginmegastore.com/uploads/category/202512/category-rvcn7vof9bov9cz3w6hfh2py.jpg?w=100&h=100&fit=cover,5,9449500,2026-04-16
SAMSUNG SIDE BY SIDE 2D RS70F65QNTSE,Rp 8.977.025,https://loginmegastore.com/uploads/category/202512/category-o2fn7sk5ssatbhqdp2ckiuid.jpg?w=100&h=100&fit=cover,5,8977025,2026-04-16
SAMSUNG SIDE BY SIDE 2D RS57DG4000M9,Rp 11.344.300,https://loginmegastore.com/uploads/product/0103-0180-1454_thumb.png?w=400&h=400&fit=contain,5,11344300,2026-04-16
SAMSUNG SIDE BY SIDE 2D RS70F65QNFSE,Rp 10.777.085,https://loginmegastore.com/uploads/product/0134-0178-0140_thumb.jpeg?w=400&h=400&fit=contain,5,10777085,2026-04-16
HISENSE SIDE BY SIDE 2D RS808N4IBU,Rp 15.156.900,https://loginmegastore.com/uploads/product/0081-0178-0375_thumb.png?w=400&h=400&fit=contain,5,15156900,2026-04-16
MODENA SIDE BY SIDE 2D RF4670SABK,Rp 14.399.055,https://loginmegastore.com/uploads/product/0144-0178-2088_thumb.png?w=400&h=400&fit=contain,5,14399055,2026-04-16
PANASONIC SIDE BY SIDE 2D NRSC631BGHD,Rp 9.999.000,https://loginmegastore.com/uploads/product/0144-0178-2087_thumb.png?w=400&h=400&fit=contain,5,9999000,2026-04-16
SHARP 2D REF SJ426GIGW,Rp 9.499.050,https://loginmegastore.com/uploads/product/0144-0178-2089_thumb.png?w=400&h=400&fit=contain,5,9499050,2026-04-16
PB CONTAINER BOX JP004 KOTAK CONTAINER MAKANAN KULKAS LARGE,Rp 15.788.500,https://loginmegastore.com/uploads/product/0535-0178-0077_thumb.png?w=400&h=400&fit=contain,5,15788500,2026-04-16
PB CONTAINER BOX JP001 KOTAK CONTAINER MAKANAN KULKAS SMALL,Rp 14.999.075,https://loginmegastore.com/uploads/product/0121-0178-0487_thumb.png?w=400&h=400&fit=contain,5,14999075,2026-04-16
PB CONTAINER BOX JP002 KOTAK CONTAINER MAKANAN KULKAS MEDIUM,Rp 10.712.700,https://loginmegastore.com/uploads/product/0133-0178-0785_thumb.png?w=400&h=400&fit=contain,5,10712700,2026-04-16
PB CONTAINER BOX JP101 KOTAK CONTAINER MAKANAN KULKAS KALENG,Rp 10.177.065,https://loginmegastore.com/uploads/product/202603/product-v3suzpx85ngjaej2qhav1v5i.png?w=400&h=400&fit=contain,5,10177065,2026-04-16
PB FOOD CONTAINER HMC118SB KOTAK PENYIMPANAN MAKANAN KULKAS SMALL BIRU,Rp 8.144.300,https://loginmegastore.com/uploads/product/0707-0412-0043_thumb.png?w=400&h=400&fit=contain,5,8144300,2026-04-16
PB FOOD CONTAINER HMC118LW KOTAK PENYIMPANAN MAKANAN KULKAS LARGE PUTIH,Rp 7.737.085,https://loginmegastore.com/uploads/product/0707-0412-0041_thumb.png?w=400&h=400&fit=contain,5,7737085,2026-04-16
